"Miles Davis";"miles.davis@kind.of.blue.org";"Trumpet,Buggle"
"John Coltrane";"john.coltrane@love.supreme.org";"AltoSax,TenorSax"
"Art Blakey";"art.blakey@jazz.messangers.org";"Drums"
"Horace Silver";"horace.silver@live.newport.org";"Piano"
"Clifford Brown";"cliff@birdyland.org";"Trumpet"
"Donald Byrd";"funky.bird@street.lady.org";"Trumpet"
"Freddie Hubbard";"freddy@plays.it.cool.org";"Trumpet,Buggle"
"Candido Camero";"candido@lafievra.org";"Congas"
"Mike Clark";"headhounting@herbie.org";"Drums"
"Gary Peacock";"intellectual@bass.org";"DoubleBass,ElectricBass"
"Ron Carter";"themaster@bass.org";"DoubleBass,ElectricBass"
"Stanley Clarke";"funk.it@any.kind.org";"DoubleBass,ElectricBass,Piano,Rhodes"
"Herbie Hancock";"make.it.groove@all.the.time.org";"Piano,Rhodes"
"Elvin Jones";"theonlyone@my.favorite.drums.org";"Drums"
"Kenny Burrell";"kenny.master@harmony.org";"ElectricGuitar"
"Wes Montgomery";"wes@feeling.org";"ElectricGuitar"
"Billie Holiday";"billy@forever.jazz.org";"LeadVoice"
"Ella Fitzgerald";"the.eternal@ella.org.jazz.org";"LeadVoice"
"Himzo Polovina";"sevdah.master@legends.ba";"LeadVoice"
"Eddie Harris";"grooving@cold.duck.time.org";"TenorSax,Rhodes"
